target,model_id,eligible_stock_days,prediction_stock_days,evaluated_stock_days,missing_prediction_stock_days,common_prediction_stock_days,common_scored_stock_days
raw,ols_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_core_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_core_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_core_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_core_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_all_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_all_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_all_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_all_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_textcore_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_textcore_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_textcore_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_textcore_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_textall_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_textall_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_textall_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_textall_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_sentiment_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_sentiment_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_sentiment_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_sentiment_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_attention_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_attention_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_attention_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_attention_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_core_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_all_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_textcore_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_textall_raw_fit504_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_sentiment_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_sentiment_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_sentiment_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_sentiment_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_attention_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_attention_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_attention_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_attention_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_core_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_all_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_textcore_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,lasso_characteristics_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,enet_characteristics_textall_raw_fit252_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ols_characteristics_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
raw,ridge_characteristics_raw_fit756_val126,3034035,3034035,3033080,0,3034035,3033080
