# A_by_msg_count
n_bucket,text_rank,lr_2_rank,lr_all_rank,textcore_rank,lr_2
1,0.012663492763509226,-0.00041451904718467107,0.004033168335384927,0.009667757734162194,0.001318343609789809
2,0.021143040618475842,0.0015294900706000723,0.007401168987963396,0.019587844284947985,0.0003103161155949837
3-5,0.02896160387803965,0.0031517823879693937,0.0074026479339816455,0.026513603501951356,-6.156638150975021e-05
6-10,0.039974679835205675,0.0007324682043884591,0.006247376819379492,0.038035783268305784,-0.0022721921678764763
11-30,0.04916126928413687,0.003922350909274117,0.01984279798622285,0.0509777829064679,-0.00464387282747577
>30,0.0844201448074974,0.03863305271949192,0.07761217150574136,0.10004207426947456,0.020354035658918405

# B_by_size
size_terc,text_rank,lr_2_rank,lr_all_rank,textcore_rank,lr_2
small,0.04233968767565546,0.054203287872811465,0.04857608955841423,0.0495837842730032,0.046923483223003166
mid,0.01731866199752065,0.016554836132464213,0.015161201668570561,0.017842478056317133,0.012359813997393998
large,0.011156953041134248,0.006402346746473945,0.007224336690918035,0.010206959003471806,0.0049015851181537385

# C_year_x_msg_count
year,1,2,3-5,6-10,11-30,>30
2012,0.002450712752185043,0.032796198728576656,0.03532606509983913,0.09108316384894988,0.05519387473853782,
2013,0.018489300700301692,0.023992385777711685,0.02850584561297672,0.03360028094335602,0.05376089789637114,0.04407712878985566
2014,0.016699578853913592,0.033628746729921735,0.029820583350057033,0.04490383424888149,0.061302984964629596,0.05633032397444283
2015,0.013178380212731095,0.02316495999197404,0.03310499296147074,0.058068633350327345,0.05342236393413187,0.08938401345156707
2016,0.012728847890827613,0.021711418270087903,0.02738411144119794,0.03743426571082011,0.04135570660052946,0.0886684717460366
2017,0.012835730463339945,0.012087863513605475,0.019985292105949896,0.033255127078309264,0.03305951379841512,0.0929507553232034
2018,0.008982690447300993,0.02097059055704522,0.035268563573760424,0.04198283514998112,0.051693414767660505,0.09454919595726043
2019,0.015504473520120953,0.006719549315594703,0.0343151898859707,0.03252638035574163,0.050822712204432165,0.11355633391662201
2020,0.006574350210395024,0.017655695016148235,0.022378432569580747,0.03350326834770477,0.049297522593117,0.09402736251523201
2021,0.010012539734640448,0.01828993822129994,0.016653362791831494,0.027488673186295814,0.03984791958951059,0.06592158154118703
2022,0.021807287089990197,0.025156176821056243,0.039985920941304806,0.046826511278328035,0.05733469485764912,0.07576131146043001

# D_horizon
,text_rank,lr_2_rank,lr_all_rank,textcore_rank,lr_2
raw 1d,0.037370963991872806,0.029359652714058413,0.029495036355448697,0.037246694546550045,0.022763155743333572
dgtw 1d,0.033874718247240636,0.02702262130081652,0.026516097769697936,0.033662433756161105,0.020563926182298783
dgtw 3d,0.041060905695727956,0.03358127712536927,0.03157240764205276,0.03997405090661696,0.02457578999892536
dgtw 5d,0.04578694462758958,0.036667534546130184,0.034773807374334186,0.044680170040929515,0.026272033162566103
dgtw 10d,0.05313616086348844,0.04253126313695435,0.0396490179324274,0.05213034802250648,0.02954201141768059
dgtw 21d,,,,,

# E_loadings
,text_rank,lr_2_rank,lr_all_rank,textcore_rank,lr_2
log_volume,-0.4186293335359003,-0.8668489348403197,-0.5852658416385024,-0.3993882698393325,-0.7071222722040107
embed_n,-0.41863010834559594,-0.8668481414562079,-0.5852656141944241,-0.39938821504505734,-0.70712183185285
cap,0.30414761976174776,0.03883837436906348,0.09063968462871698,0.26719105133028265,-0.00018469442366144507
net_sentiment,0.09970846306700028,0.3693328615628205,0.08992328868325893,0.09086296912220655,0.5713495900604612
embed_cos,0.30539223568013363,0.6541950632873688,0.34966288522041145,0.18374666156605274,0.5288654024348185

