family,comparison,model_id,benchmark_id,metric,family_size,observed_family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
refit,recent_minus_retain,ld2_ols_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.00043624219765470786,0.0003301905958581512,1.3211829868168508,0.18644035765943445,-0.00021091947826108883,0.0010834038735705045,2266,2266,0,5,raw,full
refit,recent_minus_retain,ld2_ols_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.00043624219765470786,0.00029278480505580206,1.4899755387632365,0.13623066781144172,-0.0001376054754752449,0.0010100898707846606,2266,2266,0,21,raw,full
refit,recent_minus_retain,ld2_ols_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.00043624219765470786,0.00026338125689911025,1.6563145107239465,0.09765814341490045,-7.99755800704399e-05,0.0009524599753798556,2266,2266,0,63,raw,full
refit,union_minus_retain,ld2_ols_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,114,114,0.02297555117750203,0.0008612556933720222,0.00023170232168581113,3.7170783922479935,0.00020153992260966695,0.00040712748773351847,0.001315383899010526,2266,2266,0,5,raw,full
refit,union_minus_retain,ld2_ols_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,114,114,0.006287990694776397,0.0008612556933720222,0.0002135721018976892,4.032622639939196,5.515781311207366e-05,0.0004426620655500329,0.0012798493211940115,2266,2266,0,21,raw,full
refit,union_minus_retain,ld2_ols_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,114,114,0.008193993705975173,0.0008612556933720222,0.00021694179694909622,3.9699850627406277,7.187713777171204e-05,0.00043605758461039227,0.0012864538021336522,2266,2266,0,63,raw,full
refit,union_minus_recent,ld2_ols_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.0004250134957173145,0.0002153860619646386,1.9732636914411474,0.048465527329496376,2.8645714947104334e-06,0.0008471624199399186,2266,2266,0,5,raw,full
refit,union_minus_recent,ld2_ols_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.0004250134957173145,0.0002207520320220808,1.925298226359259,0.05419205941562976,-7.652536559996602e-06,0.0008576795279946255,2266,2266,0,21,raw,full
refit,union_minus_recent,ld2_ols_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.0004250134957173145,0.00022682301948801883,1.8737670306860739,0.06096254244167707,-1.955145334382925e-05,0.0008695784447784582,2266,2266,0,63,raw,full
history,selected_minus_fixed504,ld2_ols_characteristics_full_raw_select_retain,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,57,57,0.9055399939821728,0.0006554755291537149,0.0002718113727234497,2.4115088437473817,0.01588666656109075,0.0001227350280273606,0.001188216030280069,2266,2266,0,5,raw,full
