model_id,portfolio,decile,mean_bp,n_days,target,scope,horizon
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,1,-16.02993979981148,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,2,4.383894195968113,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,3,5.545297858008294,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,4,7.867151916296552,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,5,5.783160856161169,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,6,3.927856146564197,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,7,4.9225514398333745,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,8,4.929765963632415,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,9,5.347801860046798,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_retain,ew_raw,10,6.1595456845944145,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,1,-16.918338097299255,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,2,4.683761984308599,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,3,7.086279795251967,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,4,7.087359837841044,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,5,4.422173656124037,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,6,4.810357662801519,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,7,5.447421059964802,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,8,4.54782537693836,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,9,5.7460596560547295,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_recent,ew_raw,10,5.924185189308113,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,1,-17.105189918504426,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,2,4.051046177647188,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,3,6.739953291429038,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,4,7.4594378175477996,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,5,5.081223645325662,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,6,4.844682139533739,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,7,5.079895084491522,2266,raw,full,1
ld2_ols_characteristics_full_raw_fixed504_union,ew_raw,8,4.899780690142716,2266,raw,full,1
