family,comparison,model_id,benchmark_id,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,metric,family_size,observed_family_size,p_bonferroni,target,period
estimator,versus_ols,li1_ridge_additive_c_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0010056155372208744,0.000438638813242963,2.292582203991742,0.02187206990357104,0.00014589926104327598,0.0018653318133984727,2266,2266,0,5,rank_ic,39,39,0.8530107262392705,raw,full
estimator,versus_ols,li1_ridge_additive_c_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0010056155372208744,0.000480824891463467,2.091438182744915,0.03648880241397815,6.321606708209861e-05,0.0019480150073596502,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_ridge_additive_c_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0010056155372208744,0.0005463552337735491,1.8405891900683748,0.06568178306489875,-6.52210437402437e-05,0.0020764521181819923,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_enet_additive_c_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0002888445990365068,0.000438994403187226,0.6579687507162088,0.5105582113370946,-0.0005715686206251118,0.0011492578186981252,2266,2266,0,5,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_enet_additive_c_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0002888445990365068,0.0004679629331581029,0.6172382010840154,0.5370776220586491,-0.0006283458960530995,0.0012060350941261132,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_enet_additive_c_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0002888445990365068,0.00045711723987490834,0.6318829697071807,0.5274633524188888,-0.0006070887278306703,0.0011847779259036837,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_additive_c_joint_raw_fixed504_union,li1_ridge_additive_c_joint_raw_fixed504_union,-0.0007167709381843677,0.00033315174044554126,-2.1514848976199024,0.03143794659076859,-0.0013697363508444645,-6.38055255242708e-05,2266,2266,0,5,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_additive_c_joint_raw_fixed504_union,li1_ridge_additive_c_joint_raw_fixed504_union,-0.0007167709381843677,0.0003620285893134027,-1.9798738534537943,0.04771770507193751,-0.001426333934612479,-7.207941756256163e-06,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_additive_c_joint_raw_fixed504_union,li1_ridge_additive_c_joint_raw_fixed504_union,-0.0007167709381843677,0.0003824106840245359,-1.8743486208099218,0.060882390166855434,-0.0014662821061757847,3.274022980704933e-05,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
social_information,additive_social_given_c,li1_ols_additive_cs_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0009884969682053344,0.00020373337914281837,4.851914656127074,1.222752421692651e-06,0.0005891868826367666,0.0013878070537739022,2266,2266,0,5,rank_ic,12,12,1.4673029060311813e-05,raw,full
social_information,additive_social_given_c,li1_ols_additive_cs_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,0.0009884969682053344,0.00020445793370362192,4.83472052318713,1.3333282380150322e-06,0.0005877667817927575,0.0013892271546179114,2266,2266,0,21,rank_ic,12,12,1.5999938856180388e-05,raw,full
