target,model_id,eligible_stock_days,prediction_stock_days,evaluated_stock_days,missing_prediction_stock_days,common_prediction_stock_days,common_scored_stock_days
raw,li1_ols_additive_c_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_additive_c_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_additive_c_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_additive_cs_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_additive_cs_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_additive_cs_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_additive_cst_full_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_additive_cst_full_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_additive_cst_full_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_c_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_c_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_c_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_c_quadratic_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_c_quadratic_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_c_quadratic_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_cq_s_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_cq_s_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_cq_s_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_cq_s_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_cq_s_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_cq_s_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_cs_joint_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_cs_joint_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_cs_joint_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_text_main_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_text_main_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_text_main_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_text_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ridge_text_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_enet_text_squares_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,li1_ols_agreement_c_joint_raw_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
