model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.08749931332330083,0.002419980606235549,36.15703080340474,2.8848476906110757e-286,0.08275623849179374,0.09224238815480791,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,58.325951793203366,7.672262193990429,7.602184377756177,2.911734761599652e-14,43.28859421303387,73.36330937337286,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,53.45675174325633,8.602634967189491,6.213997449286265,5.165336670944952e-10,36.59589703542002,70.31760645109264,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.0885428394739351,0.0025908786330547814,34.174831018440436,5.720813684132473e-256,0.08346481066483336,0.09362086828303684,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,40.63006633181325,7.950322142691288,5.11049308475687,3.2131907362348125e-07,25.04772126664701,56.21241139697948,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,42.055148359534044,8.294820550913187,5.070049207382087,3.9771286079449184e-07,25.797598821521508,58.312697897546585,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.0870436347589025,0.0025524808454004664,34.10158196319235,6.988453760738325e-255,0.08204086423068924,0.09204640528711577,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,40.153890140803576,7.831377360119098,5.127308810999873,2.9391320414720246e-07,24.80467256562778,55.50310771597937,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,37.13457685521367,8.394020185257622,4.423932279842853,9.692041220332182e-06,20.6825996066065,53.586554103820845,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.0909216994233173,0.0024105434774262563,37.71834039699406,0.0,0.0861971210243939,0.09564627782224071,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,68.5763939449623,7.581895036722752,9.044756437910833,1.4999919076579797e-19,53.71615273842272,83.43663515150189,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,59.28480581550018,8.488948981920087,6.983762765186362,2.8737718161749466e-12,42.64677154433885,75.92284008666151,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.09220051179705414,0.0025797966473282046,35.73944942231886,9.649206712054192e-280,0.08714420328085368,0.09725682031325461,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,54.70549176706254,7.710994860613079,7.094479085505844,1.298396081086819e-12,39.59221955528745,69.81876397883762,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,45.62954359735136,8.2896181337007,5.504420452354559,3.7038465017125534e-08,29.38219060970785,61.87689658499487,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
