model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.07181341964563775,0.010714166132850471,6.702660641545608,2.0465838596513773e-11,0.05081403990087205,0.09281279939040346,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,35.469041274580434,13.350590767911726,2.6567394575400076,0.007890039469568965,9.302364197140509,61.63571835202036,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,19.41248819206386,14.893667436998138,1.3034055093670405,0.19243635660047764,-9.778563582169465,48.60353996629719,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.07233505807152182,0.011082246472465983,6.527111470696796,6.705014758427099e-11,0.05061425411769244,0.09405586202535121,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,33.65127400659137,14.110922517205971,2.384767825459967,0.01708990318472181,5.994374084232387,61.30817392895035,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,26.60678506797264,13.906086920247816,1.913319341419627,0.05570718313806288,-0.6486444615965965,53.86221459754188,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.06976650402242271,0.011184775140351657,6.237631346804993,4.442460615736074e-10,0.04784474757215454,0.09168826047269088,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,33.74204046608927,14.037166094932434,2.4037644235235276,0.0162272266036202,6.229700475014948,61.25438045716359,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,23.322624635549328,15.80729822409598,1.4754339612570415,0.14009591052805723,-7.65911057656275,54.3043598476614,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2014
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.07260203878188241,0.010622295481017,6.834872830606982,8.207780592616944e-12,0.05178272220594653,0.0934213553578183,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2014
