family,comparison,model_id,benchmark_id,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,metric,family_size,observed_family_size,p_bonferroni,target,period
estimator,versus_ols,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0010056155372208744,0.000438638813242963,2.292582203991742,0.02187206990357104,0.00014589926104327598,0.0018653318133984727,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0010056155372208744,0.000480824891463467,2.091438182744915,0.03648880241397815,6.321606708209861e-05,0.0019480150073596502,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0010056155372208744,0.0005463552337735491,1.8405891900683748,0.06568178306489875,-6.52210437402437e-05,0.0020764521181819923,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,-0.00017267834037612467,6.614380124290413e-05,-2.61065038796284,0.009037022788676284,-0.0003023178086127924,-4.3038872139456916e-05,2266,2266,0,5,rank_ic,38,38,0.3434068659696988,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,-0.00017267834037612467,7.083303482956789e-05,-2.4378221375324074,0.014776042246330386,-0.000311508537557749,-3.384814319450034e-05,2266,2266,0,21,rank_ic,38,38,0.5614896053605547,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,-0.00017267834037612467,7.775704162268743e-05,-2.220742157527528,0.02636843031236108,-0.0003250793415009739,-2.0277339251275397e-05,2266,2266,0,63,rank_ic,38,38,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0008329371968447498,0.00043369340894659585,1.9205668789569177,0.05478633411333972,-1.7086265022979398e-05,0.001682960658712479,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0008329371968447498,0.0004773307275731046,1.7449896868773924,0.08098666417399114,-0.00010261383791283535,0.0017684882316023349,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0008329371968447498,0.0005439021358411332,1.5314100496344436,0.12566808190787765,-0.00023309140051828352,0.0018989657942077832,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0004610018103437237,0.00039945949819526045,1.154063959992211,0.24847394764098596,-0.0003219244194014295,0.001243928040088877,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0004610018103437237,0.0004212687096950712,1.094317711556153,0.2738156599778867,-0.00036466968847227537,0.001286673309159723,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0004610018103437237,0.00042865014057838323,1.0754733679118544,0.28216284949107173,-0.00037913702715793864,0.001301140647845386,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,-0.00020161906983050582,0.00015592224183951103,-1.2930744674517316,0.19598530488896893,-0.0005072210482246918,0.00010398290856368012,2266,2266,0,5,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,-0.00020161906983050582,0.0001489075250365259,-1.353988455459522,0.1757400608764047,-0.000493472455929093,9.023431626808138e-05,2266,2266,0,21,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,-0.00020161906983050582,0.00015676676572992377,-1.2861084994114962,0.19840519825321412,-0.0005088762846339844,0.00010563814497297275,2266,2266,0,63,rank_ic,38,38,1.0,raw,full
