target,model_id,eligible_stock_days,prediction_stock_days,evaluated_stock_days,missing_prediction_stock_days,common_prediction_stock_days,common_scored_stock_days
raw,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_core_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_enet_characteristics_core_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_group_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ols_characteristics_textcore_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_ridge_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
raw,ld3_lasso_characteristics_textcore_full_raw_standard_original_none_fixed504_union,3034035,3034035,3033080,0,3034035,3033080
