model_id,portfolio,decile,mean_bp,n_days,target,scope,horizon
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,1,-17.105189918504426,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,2,4.051046177647188,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,3,6.739953291429038,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,4,7.4594378175477996,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,5,5.081223645325662,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,6,4.844682139533739,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,7,5.079895084491522,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,8,4.899780690142716,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,9,5.774909323656964,2266,raw,full,1
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,10,6.011347870023613,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,1,-14.363923913455949,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,2,1.6895605580318926,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,3,6.004984923057233,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,4,7.523271303079585,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,5,5.5090257964671725,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,6,5.067353882735521,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,7,4.5978306119079475,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,8,4.63120397455463,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,9,6.322639559723625,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,10,5.855139425192186,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,1,-14.28286958263827,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,2,1.5420840157329856,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,3,6.606302794973131,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,4,7.305401815132832,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,5,5.5081831432548185,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,6,4.932488224054516,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,7,4.659263444426411,2266,raw,full,1
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,8,4.725067997321193,2266,raw,full,1
