model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.07181341964563775,0.010714166132850471,6.702660641545608,2.0465838596513773e-11,0.05081403990087205,0.09281279939040346,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,35.469041274580434,13.350590767911726,2.6567394575400076,0.007890039469568965,9.302364197140509,61.63571835202036,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,19.41248819206386,14.893667436998138,1.3034055093670405,0.19243635660047764,-9.778563582169465,48.60353996629719,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.07233505807152182,0.011082246472465983,6.527111470696796,6.705014758427099e-11,0.05061425411769244,0.09405586202535121,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,33.65127400659137,14.110922517205971,2.384767825459967,0.01708990318472181,5.994374084232387,61.30817392895035,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,26.60678506797264,13.906086920247816,1.913319341419627,0.05570718313806288,-0.6486444615965965,53.86221459754188,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.07219684731423237,0.011079229235525675,6.516414254046875,7.200794051852701e-11,0.05048195703613881,0.09391173759232593,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2014
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,33.59245560758111,14.018042883692024,2.3963727238030565,0.016558242995204624,6.117596421806741,61.06731479335548,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2014
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,27.227623538033466,13.71807294736662,1.9847994424945958,0.047166789558298894,0.34069462390166194,54.11455245216527,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2014
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.07117458958385023,0.01097024006762635,6.487970103214924,8.700053788821712e-11,0.04967331414954433,0.09267586501815613,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,34.51786453317689,14.212108062561123,2.4287645704093053,0.015150366731526142,6.662644586165765,62.37308448018801,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,25.270307272342272,15.253757000194346,1.656661193174921,0.09758799298826086,-4.62650707696438,55.167121621648924,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.0704565289544083,0.011005677646364826,6.40183469099516,1.5352083823564365e-10,0.04888579714207569,0.09202726076674092,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2014
