family,comparison,model_id,benchmark_id,metric,family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
estimator,versus_ols,ridge_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,-0.00012083209366148167,0.00011621483529653143,-1.0397303696483235,0.2984651868718904,-0.00034860898531193754,0.00010694479798897417,2266,2266,0,5,raw,full
estimator,versus_ols,ridge_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,-0.00012083209366148167,0.00011975681113754947,-1.0089788840711293,0.31298476119985497,-0.0003555511303944439,0.00011388694307148053,2266,2266,0,21,raw,full
estimator,versus_ols,ridge_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,-0.00012083209366148167,0.00011890666503040503,-1.0161927729667997,0.30953759723651963,-0.00035388487464284383,0.00011222068731988049,2266,2266,0,63,raw,full
estimator,versus_ols,lasso_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,0.00022500664771950922,0.00021360183645722017,1.0533928521001887,0.2921609788218329,-0.000193645258768257,0.0006436585542072754,2266,2266,0,5,raw,full
estimator,versus_ols,lasso_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,0.00022500664771950922,0.00024837758427777496,0.9059056129150178,0.3649858131882059,-0.00026180447203199165,0.0007118177674710101,2266,2266,0,21,raw,full
estimator,versus_ols,lasso_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,0.00022500664771950922,0.00020996269873478846,1.071650579247523,0.28387700622233025,-0.00018651267989750974,0.0006365259753365282,2266,2266,0,63,raw,full
estimator,versus_ols,enet_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,0.00022773851909833605,0.00021361187383190725,1.0661323034764685,0.28636383874802773,-0.0001909330602823162,0.0006464100984789882,2266,2266,0,5,raw,full
estimator,versus_ols,enet_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,0.00022773851909833605,0.0002483646453721657,0.9169522447813693,0.3591676650988256,-0.0002590472408641713,0.0007145242790608435,2266,2266,0,21,raw,full
estimator,versus_ols,enet_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,36,1.0,0.00022773851909833605,0.0002090080871979067,1.0896158237297955,0.27588240973372247,-0.00018190980428716823,0.0006373868424838403,2266,2266,0,63,raw,full
feature,versus_core,ols_all_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,1.0,-0.001946296991534624,0.0009006880503514345,-2.160900203766675,0.030703049170141456,-0.003711613131529034,-0.00018098085154021385,2266,2266,0,5,raw,full
feature,versus_core,ols_all_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,1.0,-0.001946296991534624,0.0008989931746398658,-2.164974158245757,0.030389664319576102,-0.003708291236176088,-0.00018430274689316007,2266,2266,0,21,raw,full
feature,versus_core,ols_all_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,1.0,-0.001946296991534624,0.0008954038490009074,-2.17365269727878,0.02973122762377616,-0.003701256287194943,-0.00019133769587430477,2266,2266,0,63,raw,full
feature,versus_core,ridge_all_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,1.0,-0.00013769066555106637,0.000618832386795017,-0.22250074250990237,0.8239240953162501,-0.0013505798561362597,0.0010751985250341272,2266,2266,0,5,raw,full
feature,versus_core,ridge_all_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,1.0,-0.00013769066555106637,0.0006545616260550189,-0.21035554189284666,0.833390188728468,-0.001420607878280878,0.0011452265471787455,2266,2266,0,21,raw,full
feature,versus_core,ridge_all_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,1.0,-0.00013769066555106637,0.0007190871935087301,-0.19147979103787882,0.8481497120229629,-0.0015470756665721618,0.0012716943354700292,2266,2266,0,63,raw,full
estimator,versus_ols,ridge_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,0.0967787699083501,0.001687774232322076,0.0005623478002532652,3.001299607755114,0.002688299164120836,0.0005855927970403519,0.0027899556676038,2266,2266,0,5,raw,full
estimator,versus_ols,ridge_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,0.08484874976557485,0.001687774232322076,0.0005549823492049381,3.0411313706462266,0.0023569097157104127,0.000600028815824966,0.002775519648819186,2266,2266,0,21,raw,full
estimator,versus_ols,ridge_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,0.09556702912958592,0.001687774232322076,0.0005616302956958879,3.0051338847930906,0.0026546396980440534,0.0005869990801315548,0.0027885493845125975,2266,2266,0,63,raw,full
feature,versus_core,lasso_all_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,48,1.0,-0.001602524960269738,0.0007078911443609995,-2.263801395222013,0.02358633268022662,-0.002989966108192141,-0.00021508381234733483,2266,2266,0,5,raw,full
feature,versus_core,lasso_all_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,48,1.0,-0.001602524960269738,0.000746354995777953,-2.1471350353853635,0.0317825327946937,-0.0030653538716760697,-0.00013969604886340608,2266,2266,0,21,raw,full
feature,versus_core,lasso_all_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,48,1.0,-0.001602524960269738,0.000817992031205074,-1.9590960536728972,0.05010153888757806,-0.003205759881072447,7.09960532971083e-07,2266,2266,0,63,raw,full
estimator,versus_ols,lasso_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,1.0,0.000568778678984395,0.000442644853528615,1.2849549123869481,0.19880804021021592,-0.0002987892918736978,0.0014363466498424878,2266,2266,0,5,raw,full
estimator,versus_ols,lasso_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,1.0,0.000568778678984395,0.00042879747997330445,1.326450610250334,0.18469048440589264,-0.0002716489384248168,0.0014092062963936068,2266,2266,0,21,raw,full
estimator,versus_ols,lasso_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,1.0,0.000568778678984395,0.0004490467849918894,1.2666356780500458,0.20528558903162752,-0.0003113368469732095,0.0014488942049419996,2266,2266,0,63,raw,full
feature,versus_core,enet_all_raw_fit504_val126,enet_core_raw_fit504_val126,rank_ic,48,1.0,-0.0015450404986922688,0.0007070550387469368,-2.1851771276963583,0.028875861867124042,-0.0029308429097238374,-0.00015923808766070023,2266,2266,0,5,raw,full
feature,versus_core,enet_all_raw_fit504_val126,enet_core_raw_fit504_val126,rank_ic,48,1.0,-0.0015450404986922688,0.0007476710546154394,-2.0664709288324024,0.038784034644850446,-0.0030104488380216098,-7.963215936292786e-05,2266,2266,0,21,raw,full
feature,versus_core,enet_all_raw_fit504_val126,enet_core_raw_fit504_val126,rank_ic,48,1.0,-0.0015450404986922688,0.0008220009234837236,-1.8796092006128533,0.060161358419053804,-0.0031561327039790316,6.605170659449398e-05,2266,2266,0,63,raw,full
estimator,versus_ols,enet_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,1.0,0.0006289950119406912,0.0004436677472518227,1.4177163335329805,0.15627359945856073,-0.0002405777937749009,0.0014985678176562833,2266,2266,0,5,raw,full
estimator,versus_ols,enet_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,1.0,0.0006289950119406912,0.00042768219738888635,1.470706556833259,0.14137049222889436,-0.00020924669177047636,0.0014672367156518588,2266,2266,0,21,raw,full
estimator,versus_ols,enet_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,36,1.0,0.0006289950119406912,0.00044516625833786953,1.4129440409279637,0.15767217835802416,-0.00024351482153398658,0.001501504845415369,2266,2266,0,63,raw,full
feature,versus_core,ols_textcore_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,0.0005159661773007092,0.004442820190203865,0.001009382145554139,4.401524447180319,1.0749295360431442e-05,0.002464467538279986,0.006421172842127744,2266,2266,0,5,raw,full
feature,versus_core,ols_textcore_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,0.00046308810581655057,0.004442820190203865,0.0010040446332105573,4.4249229996851795,9.647668871178136e-06,0.002474928870240444,0.006410711510167286,2266,2266,0,21,raw,full
feature,versus_core,ols_textcore_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,0.0007863406356282969,0.004442820190203865,0.001030999985753276,4.309233997668605,1.638209657558952e-05,0.002422097350066135,0.006463543030341594,2266,2266,0,63,raw,full
feature,versus_core,ridge_textcore_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,6.683141745362223e-07,0.005790240275393957,0.0010204270447132322,5.674330473102241,1.3923211969504632e-08,0.0037902400189053784,0.007790240531882536,2266,2266,0,5,raw,full
feature,versus_core,ridge_textcore_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,2.954373758468822e-07,0.005790240275393957,0.000996171660508388,5.812492469861024,6.154945330143379e-09,0.0038377796983780554,0.007742700852409859,2266,2266,0,21,raw,full
feature,versus_core,ridge_textcore_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,1.6203612916834167e-06,0.005790240275393957,0.0010488159992385411,5.520739843402249,3.375752691007118e-08,0.0037345986904770275,0.007845881860310887,2266,2266,0,63,raw,full
estimator,versus_ols,ridge_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.5501377836254329,0.0012265879915286093,0.0005056769386146329,2.4256356140918847,0.015281605100706468,0.0002354794040314572,0.0022176965790257613,2266,2266,0,5,raw,full
estimator,versus_ols,ridge_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.10458534091378667,0.0012265879915286093,0.0004119384681329608,2.9776000214010243,0.0029051483587162964,0.0004192034301414054,0.002033972552915813,2266,2266,0,21,raw,full
estimator,versus_ols,ridge_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.14953843961590377,0.0012265879915286093,0.00042794383425707555,2.8662359247633655,0.004153845544886216,0.00038783348897876305,0.0020653424940784556,2266,2266,0,63,raw,full
feature,versus_core,lasso_textcore_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,48,2.0026834090638528e-07,0.005349355617200882,0.0009101854279714661,5.877215183639022,4.17225710221636e-09,0.0035654249591236323,0.007133286275278131,2266,2266,0,5,raw,full
feature,versus_core,lasso_textcore_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,48,4.641184841483637e-08,0.005349355617200882,0.0008748241458917605,6.1147782012211875,9.669135086424244e-10,0.0036347317984470173,0.007063979435954746,2266,2266,0,21,raw,full
feature,versus_core,lasso_textcore_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,48,7.862591355148414e-08,0.005349355617200882,0.0008871010645278837,6.030153531658555,1.6380398656559197e-09,0.003610669480079087,0.007088041754322676,2266,2266,0,63,raw,full
estimator,versus_ols,lasso_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.26597862992791016,0.0011315420747165252,0.0004224037859709926,2.678816128779278,0.007388295275775282,0.00030364586728001436,0.001959438282153036,2266,2266,0,5,raw,full
estimator,versus_ols,lasso_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.18779365512153634,0.0011315420747165252,0.00040508396420380283,2.7933519336925223,0.005216490420042676,0.0003375920941623592,0.0019254920552706912,2266,2266,0,21,raw,full
estimator,versus_ols,lasso_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.1716920534190318,0.0011315420747165252,0.0004009402193951727,2.822221418503441,0.004769223706084217,0.00034571368474839914,0.0019173704646846513,2266,2266,0,63,raw,full
feature,versus_core,enet_textcore_raw_fit504_val126,enet_core_raw_fit504_val126,rank_ic,48,2.2296771052863707e-07,0.005340228226676784,0.0009113935908056716,5.859409458822312,4.645160636013272e-09,0.0035539296129570323,0.0071265268403965356,2266,2266,0,5,raw,full
feature,versus_core,enet_textcore_raw_fit504_val126,enet_core_raw_fit504_val126,rank_ic,48,5.237477108756519e-08,0.005340228226676784,0.000876097382554777,6.095473326383203,1.0911410643242748e-09,0.003623108909919611,0.007057347543433957,2266,2266,0,21,raw,full
feature,versus_core,enet_textcore_raw_fit504_val126,enet_core_raw_fit504_val126,rank_ic,48,8.987085650183074e-08,0.005340228226676784,0.0008887767993648844,6.008514432974494,1.872309510454807e-09,0.003598257709626829,0.007082198743726739,2266,2266,0,63,raw,full
estimator,versus_ols,enet_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.28570097883146495,0.0011251465555712544,0.0004238199709391671,2.6547747456968045,0.007936138300874026,0.0002944746766016745,0.0019558184345408345,2266,2266,0,5,raw,full
estimator,versus_ols,enet_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.20475968343496273,0.0011251465555712544,0.0004068865621581127,2.765258576256524,0.00568776898430452,0.0003276635479480354,0.0019226295631944734,2266,2266,0,21,raw,full
estimator,versus_ols,enet_textcore_raw_fit504_val126,ols_textcore_raw_fit504_val126,rank_ic,36,0.1878690085770671,0.0011251465555712544,0.0004028131260974366,2.7932221734479734,0.005218583571585197,0.00033564733592028736,0.0019146457752222215,2266,2266,0,63,raw,full
feature,versus_core,ols_textall_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,0.004371878281444985,0.004197830032220625,0.0010727357028309432,3.913200633802507,9.108079753010386e-05,0.002095306689741714,0.006300353374699536,2266,2266,0,5,raw,full
feature,versus_core,ols_textall_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,0.0016278870222117053,0.004197830032220625,0.001012634908788916,4.145452616522095,3.391431296274386e-05,0.002213102081506347,0.006182557982934904,2266,2266,0,21,raw,full
feature,versus_core,ols_textall_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,48,0.001607788615199557,0.004197830032220625,0.001011940284724165,4.148298170938881,3.349559614999077e-05,0.0022144635196560537,0.006181196544785196,2266,2266,0,63,raw,full
feature,text_given_all,ols_textall_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,48,1.5095148993698592e-09,0.006144127023755249,0.0009253726002279667,6.6396249707865085,3.14482270702054e-11,0.0043304300550282525,0.007957823992482245,2266,2266,0,5,raw,full
feature,text_given_all,ols_textall_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,48,2.255303284682037e-08,0.006144127023755249,0.0009863974222193428,6.228855515387787,4.698548509754244e-10,0.004210823601762188,0.00807743044574831,2266,2266,0,21,raw,full
feature,text_given_all,ols_textall_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,48,7.557472470074626e-08,0.006144127023755249,0.001017821525697447,6.036546554215462,1.574473431265547e-09,0.004149233490698644,0.008139020556811854,2266,2266,0,63,raw,full
feature,versus_core,ridge_textall_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,1.2061270487452179e-11,0.0067737330305147345,0.0009255980905102234,7.318222779371559,2.5127646848858704e-13,0.004959594108955651,0.008587871952073818,2266,2266,0,5,raw,full
feature,versus_core,ridge_textall_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,3.718922680497591e-11,0.0067737330305147345,0.000945319970492695,7.165545256580485,7.747755584369981e-13,0.004920939934482586,0.008626526126546883,2266,2266,0,21,raw,full
feature,versus_core,ridge_textall_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,48,7.140681447768797e-10,0.0067737330305147345,0.0010036497028335012,6.749100818135202,1.487641968285166e-11,0.004806615759866744,0.008740850301162725,2266,2266,0,63,raw,full
feature,text_given_all,ridge_textall_raw_fit504_val126,ridge_all_raw_fit504_val126,rank_ic,48,1.1308003736566171e-13,0.006911423696065801,0.0008725429114586748,7.9210129442363115,2.355834111784619e-15,0.005201271014641077,0.008621576377490526,2266,2266,0,5,raw,full
feature,text_given_all,ridge_textall_raw_fit504_val126,ridge_all_raw_fit504_val126,rank_ic,48,1.044269878235372e-13,0.006911423696065801,0.0008714547084769964,7.930904072048215,2.1755622463236914e-15,0.005203403853293036,0.008619443538838567,2266,2266,0,21,raw,full
feature,text_given_all,ridge_textall_raw_fit504_val126,ridge_all_raw_fit504_val126,rank_ic,48,2.2760889424753884e-12,0.006911423696065801,0.0009167759827980546,7.5388359051158025,4.741851963490393e-14,0.005114575787890302,0.008708271604241301,2266,2266,0,63,raw,full
