family,comparison,model_id,benchmark_id,metric,family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,observed_family_size,target,year
estimator,versus_ols,ridge_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,8.393227714066081e-06,2.8196125956137687e-05,0.2976730820085962,0.7659526900154188,-4.687016366351878e-05,6.365661909165095e-05,252,252,0,5,56,raw,2014
estimator,versus_ols,ridge_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,8.393227714066081e-06,2.291604117794787e-05,0.3662599333318921,0.7141711240477827,-3.652138766294858e-05,5.3307843091080744e-05,252,252,0,21,56,raw,2014
estimator,versus_ols,ridge_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,8.393227714066081e-06,1.7647456168175278e-05,0.47560552830283237,0.6343554361412782,-2.619515079430669e-05,4.298160622243885e-05,252,252,0,63,56,raw,2014
estimator,versus_ols,lasso_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,-0.0007883231975445378,0.0016172117282880578,-0.48745824913045743,0.6259336232061194,-0.003957999940364907,0.0023813535452758315,252,252,0,5,56,raw,2014
estimator,versus_ols,lasso_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,-0.0007883231975445378,0.0019445853958681549,-0.40539397201046706,0.6851879411924718,-0.004599640538308685,0.0030229941432196096,252,252,0,21,56,raw,2014
estimator,versus_ols,lasso_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,-0.0007883231975445378,0.0013146510895154816,-0.5996444256818564,0.5487432329972453,-0.003364991985231224,0.001788345590142149,252,252,0,63,56,raw,2014
estimator,versus_ols,enet_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,-0.0007671418269318827,0.0016177985679622416,-0.47418871676846935,0.6353653387434122,-0.0039379687543783515,0.002403685100514586,252,252,0,5,56,raw,2014
estimator,versus_ols,enet_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,-0.0007671418269318827,0.0019459802752987182,-0.3942187064635701,0.6934195759084683,-0.00458119308114271,0.0030469094272789444,252,252,0,21,56,raw,2014
estimator,versus_ols,enet_core_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,84,1.0,-0.0007671418269318827,0.0013080791286666736,-0.5864643889806813,0.5575634855497529,-0.0033309298080470983,0.001796646154183333,252,252,0,63,56,raw,2014
feature,versus_core,ols_all_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,60,1.0,-0.009033714313510915,0.004635869452584059,-1.9486558898839297,0.051336532821194145,-0.018119851477605087,5.242285058325649e-05,252,252,0,5,40,raw,2014
feature,versus_core,ols_all_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,60,1.0,-0.009033714313510915,0.004651007331454385,-1.9423134967809315,0.05209916009142578,-0.018149521174993258,8.20925479714258e-05,252,252,0,21,40,raw,2014
feature,versus_core,ols_all_raw_fit504_val126,ols_core_raw_fit504_val126,rank_ic,60,0.4831079381222177,-0.009033714313510915,0.003409090350557029,-2.649889966112177,0.008051798968703628,-0.01571540862064572,-0.0023520200063761104,252,252,0,63,40,raw,2014
feature,versus_core,ridge_all_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,60,1.0,-0.0007165421492154358,0.0028015695533079115,-0.2557645404053558,0.798132656026951,-0.006207517573882909,0.004774433275452038,252,252,0,5,40,raw,2014
feature,versus_core,ridge_all_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,60,1.0,-0.0007165421492154358,0.0030332965173650614,-0.23622555365535963,0.8132576516025714,-0.006661694077681731,0.0052286097792508595,252,252,0,21,40,raw,2014
feature,versus_core,ridge_all_raw_fit504_val126,ridge_core_raw_fit504_val126,rank_ic,60,1.0,-0.0007165421492154358,0.003295404970806166,-0.21743675073723814,0.827867993283289,-0.007175417206469789,0.005742332908038918,252,252,0,63,40,raw,2014
estimator,versus_ols,ridge_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,84,0.8282811622480555,0.008325565392009543,0.0032261085022789585,2.580683627388314,0.009860490026762566,0.0020025089173243294,0.014648621866694756,252,252,0,5,56,raw,2014
estimator,versus_ols,ridge_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,84,0.8213766209600942,0.008325565392009543,0.0032225012439092812,2.583572437014681,0.009778293106667788,0.0020095790138118276,0.014641551770207258,252,252,0,21,56,raw,2014
estimator,versus_ols,ridge_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,84,0.026695657237973902,0.008325565392009543,0.002312440811681967,3.600336644272376,0.0003178054433092131,0.003793264684732318,0.012857866099286769,252,252,0,63,56,raw,2014
feature,versus_core,lasso_all_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,60,1.0,-0.005273481640282045,0.003975242982846677,-1.3265809569471143,0.18464733863580085,-0.013064814716457106,0.0025178514358930168,252,252,0,5,40,raw,2014
feature,versus_core,lasso_all_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,60,1.0,-0.005273481640282045,0.004436356557994515,-1.1886965286365436,0.23455910712759365,-0.013968580716529375,0.003421617435965284,252,252,0,21,40,raw,2014
feature,versus_core,lasso_all_raw_fit504_val126,lasso_core_raw_fit504_val126,rank_ic,60,1.0,-0.005273481640282045,0.0045323581900505805,-1.1635182876451329,0.24461928273360345,-0.014156740457816328,0.003609777177252238,252,252,0,63,40,raw,2014
estimator,versus_ols,lasso_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,84,1.0,0.0029719094756843326,0.001992403249155893,1.4916204723834996,0.13579866817424094,-0.000933129135341802,0.006876948086710468,252,252,0,5,56,raw,2014
estimator,versus_ols,lasso_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,84,1.0,0.0029719094756843326,0.0023505748865063334,1.2643330330570708,0.2061105179237699,-0.0016351326448324059,0.007578951596201072,252,252,0,21,56,raw,2014
estimator,versus_ols,lasso_all_raw_fit504_val126,ols_all_raw_fit504_val126,rank_ic,84,1.0,0.0029719094756843326,0.0028115765332306646,1.0570259925556558,0.29049972495155285,-0.0025386792692257527,0.008482498220594418,252,252,0,63,56,raw,2014
feature,versus_core,enet_all_raw_fit504_val126,enet_core_raw_fit504_val126,rank_ic,60,1.0,-0.005299104114708771,0.003976732472195687,-1.3325271819914397,0.1826870154733916,-0.01309335653636325,0.0024951483069457076,252,252,0,5,40,raw,2014
