target,model,metric,lags,mean,se,t,p,ci_low,ci_high,n
raw,textcore_ridge_rc,rank_corr,5,0.008680162688943881,0.001156450261822278,7.505867719089017,6.102301591947804e-14,0.0064135618258602985,0.01094676355202746,2768
raw,textcore_ridge_rc,rank_corr,21,0.008680162688943881,0.0009802629676031024,8.854932784177542,8.373425534791889e-19,0.006758882577063445,0.010601442800824314,2768
raw,textcore_ridge_rc,rank_corr,63,0.008680162688943881,0.0010228966536668658,8.48586478196732,2.1412031592503172e-17,0.006675322087850282,0.010685003290037477,2768
raw,textcore_ridge_rc,spread,5,1.722667026210293,2.0849927168530358,0.8262220833127821,0.4086781233530483,-2.3638436068499757,5.809177659270562,2768
raw,textcore_ridge_rc,spread,21,1.722667026210293,1.9732166080163982,0.8730247957633127,0.38264956263989036,-2.144766459198137,5.590100511618722,2768
raw,textcore_ridge_rc,spread,63,1.722667026210293,2.011120901281698,0.8565705945935065,0.3916822426337798,-2.219057508857569,5.664391561278155,2768
raw,textcore_enet_rc,rank_corr,5,0.008927490842343124,0.0011616591613854465,7.685120678337183,1.5285284178953037e-14,0.006650680723716648,0.011204300960969603,2768
raw,textcore_enet_rc,rank_corr,21,0.008927490842343124,0.0009682669075721208,9.22007224715378,2.969001040330282e-20,0.007029722576079795,0.010825259108606456,2768
raw,textcore_enet_rc,rank_corr,63,0.008927490842343124,0.001020556770554718,8.747667057747936,2.1780877887445985e-18,0.006927236327877371,0.01092774535680888,2768
raw,textcore_enet_rc,spread,5,1.7031346085570611,2.102847372647346,0.8099183187094202,0.41798712262093773,-2.418370506816416,5.824639723930536,2768
raw,textcore_enet_rc,spread,21,1.7031346085570611,1.9562133930364296,0.8706282323900558,0.3839571760325343,-2.1309731878692393,5.53724240498336,2768
raw,textcore_enet_rc,spread,63,1.7031346085570611,1.9586035518648541,0.8695657714576526,0.38453775009108127,-2.1356578130902815,5.541927030204402,2768
raw,textcore_lasso_rc,rank_corr,5,0.0075299510852885445,0.0010990875697939038,6.851092935843618,7.328788212119877e-12,0.005375779032636839,0.009684123137940249,2768
raw,textcore_lasso_rc,rank_corr,21,0.0075299510852885445,0.0009315796330648186,8.082992390586769,6.319656827217831e-16,0.00570408855575046,0.009355813614826626,2768
raw,textcore_lasso_rc,rank_corr,63,0.0075299510852885445,0.000948680178291729,7.937291468287646,2.0664405925593066e-15,0.005670572102989718,0.00938933006758737,2768
raw,textcore_lasso_rc,spread,5,3.7992344962559708,2.0106367097188897,1.8895678557401576,0.058815779603868086,-0.1415410407871711,7.740010033299107,2768
raw,textcore_lasso_rc,spread,21,3.7992344962559708,1.8678149108203865,2.0340529857892924,0.04194625345025028,0.13838454126111754,7.460084451250818,2768
raw,textcore_lasso_rc,spread,63,3.7992344962559708,1.9139566366506133,1.985015973457243,0.047142694352281696,0.04794842044935166,7.5505205720625845,2768
dgtw,textcore_ridge_rc,rank_corr,5,0.008510120460252193,0.0010538461925998074,8.075296490143383,6.731288550368653e-16,0.00644461987751191,0.010575621042992478,2768
dgtw,textcore_ridge_rc,rank_corr,21,0.008510120460252193,0.0010514233030704415,8.093905124035516,5.778170160604639e-16,0.006449368653727986,0.010570872266776402,2768
dgtw,textcore_ridge_rc,rank_corr,63,0.008510120460252193,0.0011185974484790966,7.607848982511982,2.7869520762042998e-14,0.0063177097480347656,0.010702531172469621,2768
dgtw,textcore_ridge_rc,spread,5,3.005226505255549,2.6176200839701447,1.148075889109746,0.2509372366467171,-2.125214584534644,8.135667595045748,2768
dgtw,textcore_ridge_rc,spread,21,3.005226505255549,2.7291548920454134,1.1011564473730664,0.27082857319741294,-2.343818791384758,8.354271801895862,2768
dgtw,textcore_ridge_rc,spread,63,3.005226505255549,2.873760386768996,1.0457470703165914,0.2956778243744559,-2.6272403530095763,8.63769336352068,2768
dgtw,textcore_enet_rc,rank_corr,5,0.008530553923266872,0.001035246596047777,8.240117819110592,1.7204115609364163e-16,0.006501507879895544,0.010559599966638201,2768
dgtw,textcore_enet_rc,rank_corr,21,0.008530553923266872,0.0009678150749676597,8.8142395628131,1.2050014450346673e-18,0.006633671232635327,0.010427436613898418,2768
dgtw,textcore_enet_rc,rank_corr,63,0.008530553923266872,0.0010658253742345117,8.00370691999486,1.2072854160538968e-15,0.006441574575958305,0.010619533270575441,2768
dgtw,textcore_enet_rc,spread,5,3.9114971553507396,2.0721547969351457,1.8876471782591258,0.05907333198537746,-0.14985161703405536,7.972845927735534,2768
dgtw,textcore_enet_rc,spread,21,3.9114971553507396,2.224047028648444,1.7587295164921763,0.07862346147258929,-0.44755492072353276,8.270549231425012,2768
dgtw,textcore_enet_rc,spread,63,3.9114971553507396,2.4180025690300124,1.6176563273544602,0.10573668275302776,-0.8277007944734103,8.65069510517489,2768
dgtw,textcore_lasso_rc,rank_corr,5,0.007103329000782068,0.001055360876664218,6.730710942435402,1.6883608320239158e-11,0.005034859691827586,0.009171798309736556,2768
