# full sample
model,bins,weight,mean_bp,t,sharpe,n_days
text_rank,5,ew,9.555188702938956,4.677843704811093,1.4168264237640023,2747
text_rank,5,cap,0.9371131378353468,0.6559605729820405,0.1986774957428514,2747
text_rank,10,ew,13.31115423100669,5.065594380431864,1.5647554799668453,2641
text_rank,10,cap,3.084957120263678,1.589671122212017,0.49104733087891506,2641
textcore_rank,5,ew,12.884583565305224,6.349774266025408,1.923221153325126,2747
textcore_rank,5,cap,-0.21343650840454093,-0.13742612997044115,-0.041623659220912365,2747
textcore_rank,10,ew,23.606430272692847,8.395937887285733,2.5934942342287526,2641
textcore_rank,10,cap,0.8275288582248115,0.39158436242859374,0.12095989748931045,2641
lr_2_rank,5,ew,14.517204305068505,7.30022725728373,2.211094583379093,2747
lr_2_rank,5,cap,-0.6207380293437815,-0.48415601906919603,-0.1466412912291448,2747
lr_2_rank,10,ew,24.681256305572564,8.94639231556052,2.763528887307619,2641
lr_2_rank,10,cap,-1.679383826371875,-1.0356458905350365,-0.31990966129855913,2641
lr_all_rank,5,ew,13.973483094784203,7.403229197734147,2.2422918358180803,2747
lr_all_rank,5,cap,1.587633836470037,1.2630945248237901,0.38256637275876065,2747
lr_all_rank,10,ew,26.625215644849625,10.02992896447906,3.098231941245319,2641
lr_all_rank,10,cap,0.9303806352619526,0.5347969358236708,0.1651980741356206,2641
lr_2,5,ew,12.938275718631127,7.48457734149695,2.2669305811204836,2747
lr_2,5,cap,-0.6788564379672121,-0.5548793975306222,-0.1680620050676498,2747
lr_2,10,ew,20.3404428006991,8.425549645945168,2.6026412677561104,2641
lr_2,10,cap,-2.1951271361718105,-1.4189160716256957,-0.4383013190448244,2641

# by year (decile, bp/day)
date,text_rank|ew,text_rank|cap,textcore_rank|ew,textcore_rank|cap,lr_2_rank|ew,lr_2_rank|cap,lr_all_rank|ew,lr_all_rank|cap,lr_2|ew,lr_2|cap
2012,-4.255141087209397,11.136843016798275,-12.080784766538644,8.306372563118199,4.691076560689861,13.002994487716055,23.595903795711973,12.38109419178799,4.827566735372423,8.313900636358355
2013,5.631625611391804,-2.5898630053262255,11.278912924133694,-1.0508725662842235,0.08763706840656595,-2.1621314288065476,-3.181851731077828,-9.883494520988025,2.6900812926753983,2.020823527766438
2014,6.104868972687052,-0.16328578765044957,21.42615550359518,-2.2309043671455426,12.640465174163142,-8.066511574952573,16.122577243672694,4.6333491506896705,16.126062323612082,-6.326744628732072
2015,20.886019652505425,3.3491162609694243,19.263211931580418,8.995019086325021,17.501768782440916,-4.172897913388194,26.819912876715986,-9.727496232960698,18.101162032602232,-3.2447461587978936
2016,13.402377352813193,-2.652129497132354,24.537844013846133,0.5859270246772811,27.2150574071033,1.1314836482253545,29.89574392445403,2.504665024386375,27.199911075538306,1.1102171263911058
2017,10.31726002927613,2.511742723171792,19.191814051880545,-1.8334188639815467,22.365908323778342,-4.931109168773597,20.032800579991523,-7.846067019177435,25.8945906939592,-3.487365963185402
2018,22.54381604239243,-1.1017385026178692,34.38551567993031,-0.8249315462062172,32.79895028989044,-1.8582276104534798,31.387373680356927,0.44320481530321615,24.976972305762907,-1.5085395597279008
2019,11.711645451416906,-1.3901660192374468,29.588058295798117,-2.2278139843902487,38.335627905582406,-7.568985565444903,34.66741003210301,-4.3510097437089,35.83446772427445,-7.251417608796425
2020,-4.861456241720603,-2.7811195986700517,10.677655020639186,-14.36293641621814,13.468068400572049,-11.251504262538514,22.34734605983498,19.27608986495617,-4.875066236815019,-11.920956040073133
2021,19.702124234311846,8.631561596321207,28.109773502034756,-0.46704514651095064,31.324548505744453,0.4732740859596773,33.96266324735933,4.412016681858364,2.7047019205025964,-10.399440727331129
2022,36.43592179940287,23.18953549232169,55.22615712538156,18.153795313973422,61.04345915589493,14.535086960835283,55.80226792508489,4.156751788596264,62.6316287176884,14.02806117052552

# by size tercile (decile)
model,size,weight,mean_bp,t,sharpe,n_days
text_rank,small,ew,27.921314224067974,6.707005305826654,2.131968068288708,2494
text_rank,small,cap,14.346327248916406,3.418035076906961,1.0864970740258304,2494
text_rank,mid,ew,7.021656468453491,2.5655463231663633,0.8156784560982192,2493
text_rank,mid,cap,4.806215163168255,1.6974403505154751,0.5396766809177977,2493
text_rank,large,ew,3.462937714444771,1.8946905927167284,0.6020274291153866,2496
text_rank,large,cap,0.6841261052261163,0.47301240340873835,0.15029706816432575,2496
textcore_rank,small,ew,61.964256779336935,12.514070298242178,3.9778704598600503,2494
textcore_rank,small,cap,39.567210746573224,7.939574400972816,2.5237670654548867,2494
textcore_rank,mid,ew,9.245253968973078,3.0037122341246536,0.954986988763584,2493
textcore_rank,mid,cap,8.467733646298583,2.7071209773668783,0.8606900757747613,2493
textcore_rank,large,ew,4.031407802368942,1.9343753774285977,0.6146370493916067,2496
textcore_rank,large,cap,-0.21694482104496593,-0.12198786254182593,-0.03876096685740842,2496
lr_2_rank,small,ew,67.48999052920057,12.842817387309283,4.08236989954665,2494
lr_2_rank,small,cap,35.416657577657034,7.10190458955379,2.2574954273270156,2494
lr_2_rank,mid,ew,8.648280699133569,2.4813947880286236,0.7889236890376379,2493
lr_2_rank,mid,cap,6.682729347693246,1.908130349158603,0.6066625276580199,2493
lr_2_rank,large,ew,1.5026765262780686,0.6820496451921223,0.21671749255656164,2496
lr_2_rank,large,cap,-2.1163022830375557,-1.324427627705652,-0.42082953429021064,2496
lr_all_rank,small,ew,67.241320239516,12.955185681726286,4.118088615226954,2494
lr_all_rank,small,cap,37.73402247018636,7.583301061074116,2.4105178059699224,2494
lr_all_rank,mid,ew,9.231869748845442,2.8735833064055916,0.9136143727647427,2493
lr_all_rank,mid,cap,8.453326734876264,2.627667540146572,0.835429001196474,2493
lr_all_rank,large,ew,3.1670999481646964,1.6031411556508768,0.5093892122310562,2496
lr_all_rank,large,cap,0.773864620519009,0.46268907270788867,0.1470168870806011,2496
lr_2,small,ew,56.88721714575875,11.499644684402002,3.65541313088156,2494
lr_2,small,cap,31.86887361695719,6.885588326427096,2.1887345803306664,2494
lr_2,mid,ew,6.7149632187868304,2.1859429217036523,0.6949890288059496,2493
lr_2,mid,cap,4.890705466229299,1.552998203223711,0.4937533831645739,2493
lr_2,large,ew,1.0337742734471702,0.5189032178004808,0.16487861995672576,2496
lr_2,large,cap,-2.0835319912496937,-1.3301813405160108,-0.4226577446293573,2496
